,"CC Hard, k=2"
TCGA-2K-A9WE,2
TCGA-2Z-A9J1,2
TCGA-2Z-A9J2,2
TCGA-2Z-A9J3,2
TCGA-2Z-A9J5,2
TCGA-2Z-A9J6,2
TCGA-2Z-A9J7,2
TCGA-2Z-A9J8,1
TCGA-2Z-A9JD,2
TCGA-2Z-A9JE,2
TCGA-2Z-A9JG,1
TCGA-2Z-A9JI,1
TCGA-2Z-A9JJ,1
TCGA-2Z-A9JK,1
TCGA-2Z-A9JL,1
TCGA-2Z-A9JM,2
TCGA-2Z-A9JP,2
TCGA-2Z-A9JQ,2
TCGA-2Z-A9JR,2
TCGA-2Z-A9JS,2
TCGA-2Z-A9JT,2
TCGA-4A-A93W,2
TCGA-4A-A93X,1
TCGA-5P-A9JU,1
TCGA-5P-A9JV,1
TCGA-5P-A9JW,2
TCGA-5P-A9JY,2
TCGA-5P-A9JZ,2
TCGA-5P-A9K0,2
TCGA-5P-A9K2,2
TCGA-5P-A9K3,1
TCGA-5P-A9K4,2
TCGA-5P-A9K6,2
TCGA-5P-A9K8,1
TCGA-5P-A9K9,1
TCGA-5P-A9KA,1
TCGA-5P-A9KC,1
TCGA-5P-A9KE,2
TCGA-5P-A9KH,1
TCGA-A4-7286,1
TCGA-A4-7287,1
TCGA-A4-7288,2
TCGA-A4-7583,1
TCGA-A4-7584,2
TCGA-A4-7585,2
TCGA-A4-7732,2
TCGA-A4-7734,2
TCGA-A4-7915,2
TCGA-A4-7996,2
TCGA-A4-7997,1
TCGA-A4-8098,1
TCGA-A4-8310,2
TCGA-A4-8311,2
TCGA-A4-8515,2
TCGA-A4-8516,2
TCGA-A4-8517,2
TCGA-A4-8518,2
TCGA-A4-8630,2
TCGA-A4-A48D,1
TCGA-A4-A4ZT,2
TCGA-A4-A57E,1
TCGA-A4-A5DU,2
TCGA-A4-A5XZ,2
TCGA-A4-A5Y0,2
TCGA-A4-A5Y1,1
TCGA-A4-A6HP,2
TCGA-A4-A772,2
TCGA-A4-A7UZ,2
TCGA-AL-3466,1
TCGA-AL-3468,2
TCGA-AL-3471,2
TCGA-AL-3472,2
TCGA-AL-3473,1
TCGA-AL-7173,1
TCGA-AL-A5DJ,1
TCGA-AT-A5NU,2
TCGA-B1-5398,1
TCGA-B1-7332,1
TCGA-B1-A47M,2
TCGA-B1-A47N,2
TCGA-B1-A47O,2
TCGA-B1-A654,2
TCGA-B1-A655,2
TCGA-B1-A656,1
TCGA-B1-A657,2
TCGA-B3-3925,2
TCGA-B3-3926,1
TCGA-B3-4103,2
TCGA-B3-4104,2
TCGA-B3-8121,2
TCGA-B3-A6W5,2
TCGA-B9-4113,2
TCGA-B9-4114,2
TCGA-B9-4115,2
TCGA-B9-4116,1
TCGA-B9-4117,1
TCGA-B9-4617,2
TCGA-B9-5155,2
TCGA-B9-5156,2
TCGA-B9-7268,2
TCGA-B9-A44B,1
TCGA-B9-A5W7,2
TCGA-B9-A5W8,1
TCGA-B9-A5W9,2
TCGA-B9-A69E,1
TCGA-B9-A8YH,2
TCGA-B9-A8YI,1
TCGA-BQ-5875,2
TCGA-BQ-5876,1
TCGA-BQ-5877,1
TCGA-BQ-5878,1
TCGA-BQ-5879,1
TCGA-BQ-5880,2
TCGA-BQ-5881,2
TCGA-BQ-5882,1
TCGA-BQ-5884,1
TCGA-BQ-5885,1
TCGA-BQ-5886,2
TCGA-BQ-5887,2
TCGA-BQ-5888,1
TCGA-BQ-5889,1
TCGA-BQ-5890,1
TCGA-BQ-5891,1
TCGA-BQ-5892,1
TCGA-BQ-5893,2
TCGA-BQ-5894,1
TCGA-BQ-7044,1
TCGA-BQ-7045,2
TCGA-BQ-7046,2
TCGA-BQ-7048,1
TCGA-BQ-7051,2
TCGA-BQ-7053,2
TCGA-BQ-7055,1
TCGA-BQ-7056,1
TCGA-BQ-7058,2
TCGA-BQ-7059,1
TCGA-BQ-7060,2
TCGA-BQ-7061,1
TCGA-BQ-7062,2
TCGA-DW-5560,2
TCGA-DW-5561,2
TCGA-DW-7834,2
TCGA-DW-7836,2
TCGA-DW-7837,2
TCGA-DW-7838,2
TCGA-DW-7839,2
TCGA-DW-7840,2
TCGA-DW-7841,2
TCGA-DW-7842,2
TCGA-DW-7963,2
TCGA-DZ-6131,1
TCGA-DZ-6132,2
TCGA-DZ-6133,2
TCGA-DZ-6134,2
TCGA-DZ-6135,1
TCGA-EV-5901,2
TCGA-EV-5902,1
TCGA-EV-5903,2
TCGA-F9-A4JJ,1
TCGA-F9-A7Q0,1
TCGA-F9-A7VF,2
TCGA-F9-A8NY,2
TCGA-F9-A97G,1
TCGA-G7-6789,1
TCGA-G7-6790,2
TCGA-G7-6792,1
TCGA-G7-6793,1
TCGA-G7-6795,2
TCGA-G7-6796,1
TCGA-G7-6797,1
TCGA-G7-7501,1
TCGA-G7-7502,1
TCGA-G7-A4TM,2
TCGA-G7-A8LB,2
TCGA-G7-A8LC,1
TCGA-G7-A8LD,1
TCGA-G7-A8LE,2
TCGA-GL-6846,2
TCGA-GL-7773,1
TCGA-GL-7966,1
TCGA-GL-8500,1
TCGA-GL-A4EM,2
TCGA-GL-A59R,2
TCGA-GL-A59T,2
TCGA-GL-A9DC,2
TCGA-GL-A9DD,2
TCGA-GL-A9DE,1
TCGA-HE-7128,2
TCGA-HE-7129,2
TCGA-HE-7130,1
TCGA-HE-A5NF,2
TCGA-HE-A5NH,2
TCGA-HE-A5NI,2
TCGA-HE-A5NJ,2
TCGA-HE-A5NK,1
TCGA-HE-A5NL,2
TCGA-IA-A40U,1
TCGA-IA-A40X,1
TCGA-IA-A40Y,1
TCGA-IA-A83S,2
TCGA-IA-A83T,2
TCGA-IA-A83V,2
TCGA-IA-A83W,1
TCGA-IZ-8195,2
TCGA-IZ-8196,2
TCGA-IZ-A6M8,2
TCGA-IZ-A6M9,2
TCGA-J7-6720,2
TCGA-J7-8537,1
TCGA-J7-A8I2,2
TCGA-KV-A6GD,2
TCGA-KV-A6GE,2
TCGA-KV-A74V,2
TCGA-MH-A55W,2
TCGA-MH-A55Z,2
TCGA-MH-A560,2
TCGA-MH-A561,2
TCGA-MH-A562,2
TCGA-MH-A854,1
TCGA-MH-A855,1
TCGA-O9-A75Z,2
TCGA-P4-A5E6,1
TCGA-P4-A5E7,2
TCGA-P4-A5E8,1
TCGA-P4-A5EA,1
TCGA-P4-A5EB,1
TCGA-P4-AAVK,2
TCGA-P4-AAVL,2
TCGA-P4-AAVM,2
TCGA-P4-AAVO,1
TCGA-PJ-A5Z8,1
TCGA-PJ-A5Z9,2
TCGA-Q2-A5QZ,1
TCGA-SX-A71R,2
TCGA-SX-A71S,2
TCGA-SX-A71U,2
TCGA-SX-A71V,2
TCGA-SX-A7SL,2
TCGA-SX-A7SM,1
TCGA-SX-A7SN,2
TCGA-SX-A7SP,2
TCGA-SX-A7SQ,2
TCGA-SX-A7SR,2
TCGA-SX-A7SS,2
TCGA-SX-A7SU,2
TCGA-UN-AAZ9,1
TCGA-UZ-A9PJ,2
TCGA-UZ-A9PK,2
TCGA-UZ-A9PL,2
TCGA-UZ-A9PM,2
TCGA-UZ-A9PN,1
TCGA-UZ-A9PO,2
TCGA-UZ-A9PP,2
TCGA-UZ-A9PQ,1
TCGA-UZ-A9PR,2
TCGA-UZ-A9PS,2
TCGA-UZ-A9PU,2
TCGA-UZ-A9PV,2
TCGA-UZ-A9PX,2
TCGA-UZ-A9PZ,2
TCGA-UZ-A9Q0,2
TCGA-UZ-A9Q1,2
TCGA-V9-A7HT,2
TCGA-WN-A9G9,1
TCGA-WN-AB4C,2
TCGA-Y8-A894,1
TCGA-Y8-A895,2
TCGA-Y8-A896,1
TCGA-Y8-A897,2
TCGA-Y8-A898,2
TCGA-Y8-A8RY,2
TCGA-Y8-A8RZ,1
TCGA-Y8-A8S0,2
TCGA-Y8-A8S1,1
